SEMAINE,L,M,Mer,J,V,S,D,L,M,Mer,J,V,S,D,L,M,Mer,J,V,S,D,L,M,Mer,J,V,S,D,L,M,Mer,J,V,S,D,L,M,Mer,J,V,S,D,L,M,Mer,J,V,S,D,L,M,Mer,J,V,S,D,L,M,Mer,J
Semaine 1,,,JB,NB,,,,NB,NB,,,,JB,JB,,,,,NB,NB,,,JB,NB,,,,JB,JB,,,JB,U,,,,JB,NB,,,JB,NB,,,,JB,JB,,,JB,NB,,,,JB,NB,,,JB,NB
Semaine 2,NB,NB,,,,JB,JB,,,,,NB,NB,,,JB,NB,,,,JB,JB,,,JB,U,,,,JB,NB,,,JB,NB,,,,JB,JB,,,JB,NB,,,,JB,NB,,,JB,NB,,,,JB,U,,
Semaine 3,,,,,NB,NB,,,JB,NB,,,,JB,JB,,,JB,U,,,,JB,NB,,,JB,NB,,,,JB,JB,,,JB,NB,,,,JB,NB,,,JB,NB,,,,JB,U,,,NB,NB,,,,JB,U
Semaine 4,,JB,NB,,,,JB,JB,,,JB,U,,,,JB,NB,,,JB,NB,,,,JB,JB,,,JB,NB,,,,JB,NB,,,JB,NB,,,,JB,U,,,NB,NB,,,,JB,U,,,JB,NB,,,
Semaine 5,JB,,,JB,U,,,,JB,NB,,,JB,NB,,,,JB,JB,,,JB,NB,,,,JB,NB,,,JB,NB,,,,JB,U,,,NB,NB,,,,JB,U,,,JB,NB,,,,JB,,,,JB,NB,
Semaine 6,,JB,NB,,,JB,NB,,,,JB,JB,,,JB,NB,,,,JB,NB,,,JB,NB,,,,JB,U,,,NB,NB,,,,JB,U,,,JB,NB,,,,JB,,,,JB,NB,,,,U,NB,,,JB
Semaine 7,,,,JB,JB,,,JB,NB,,,,JB,NB,,,JB,NB,,,,JB,U,,,NB,NB,,,,JB,U,,,JB,NB,,,,JB,,,,JB,NB,,,,U,NB,,,JB,JB,,,,JB,NB,
Semaine 8,JB,NB,,,,JB,NB,,,JB,NB,,,,JB,U,,,NB,NB,,,,JB,U,,,JB,NB,,,,JB,,,,JB,NB,,,,U,NB,,,JB,JB,,,,JB,NB,,,NB,NB,,,,NB
Semaine 9,,,JB,NB,,,,JB,U,,,NB,NB,,,,JB,U,,,JB,NB,,,,JB,,,,JB,NB,,,,U,NB,,,JB,JB,,,,JB,NB,,,NB,NB,,,,NB,NB,,,U,NB,,
Semaine 10,JB,U,,,NB,NB,,,,JB,U,,,JB,NB,,,,JB,,,,JB,NB,,,,U,NB,,,JB,JB,,,,JB,NB,,,NB,NB,,,,NB,NB,,,U,NB,,,,JB,NB,,,U,NB
Semaine 11,,,JB,U,,,JB,NB,,,,JB,,,,JB,NB,,,,U,NB,,,JB,JB,,,,JB,NB,,,NB,NB,,,,NB,NB,,,U,NB,,,,JB,NB,,,U,NB,,,,JB,NB,,
Semaine 12,NB,,,,JB,,,,JB,NB,,,,U,NB,,,JB,JB,,,,JB,NB,,,NB,NB,,,,NB,NB,,,U,NB,,,,JB,NB,,,U,NB,,,,JB,NB,,,NB,NB,,,,JB,
Semaine 13,,JB,NB,,,,U,NB,,,JB,JB,,,,JB,NB,,,NB,NB,,,,NB,NB,,,U,NB,,,,JB,NB,,,U,NB,,,,JB,NB,,,NB,NB,,,,JB,,,U,JB,NB,,,JB
Semaine 14,NB,,,JB,JB,,,,JB,NB,,,NB,NB,,,,NB,NB,,,U,NB,,,,JB,NB,,,U,NB,,,,JB,NB,,,NB,NB,,,,JB,,,U,JB,NB,,,JB,JB,,,,,JB,NB
Semaine 15,,JB,NB,,,NB,NB,,,,NB,NB,,,U,NB,,,,JB,NB,,,U,NB,,,,JB,NB,,,NB,NB,,,,JB,,,U,JB,NB,,,JB,JB,,,,,JB,NB,,,,NB,NB,,
Semaine 16,,,,NB,NB,,,U,NB,,,,JB,NB,,,U,NB,,,,JB,NB,,,NB,NB,,,,JB,,,U,JB,NB,,,JB,JB,,,,,JB,NB,,,,NB,NB,,,,JB,JB,,,,
Semaine 17,U,NB,,,,JB,NB,,,U,NB,,,,JB,NB,,,NB,NB,,,,JB,,,U,JB,NB,,,JB,JB,,,,,JB,NB,,,,NB,NB,,,,JB,JB,,,,,NB,NB,,,JB,NB,
Semaine 18,,,U,NB,,,,JB,NB,,,NB,NB,,,,JB,,,U,JB,NB,,,JB,JB,,,,,JB,NB,,,,NB,NB,,,,JB,JB,,,,,NB,NB,,,JB,NB,,,,JB,JB,,,JB
Semaine 19,JB,NB,,,NB,NB,,,,JB,,,U,JB,NB,,,JB,JB,,,,,JB,NB,,,,NB,NB,,,,JB,JB,,,,,NB,NB,,,JB,NB,,,,JB,JB,,,JB,U,,,,JB,NB,
semaine 20,,,JB,,,U,JB,NB,,,JB,JB,,,,,JB,NB,,,,NB,NB,,,,JB,JB,,,,,NB,NB,,,JB,NB,,,,JB,JB,,,JB,U,,,,JB,NB,,,JB,NB,,,,JB
semaine 21,NB,,,JB,JB,,,,,JB,NB,,,,NB,NB,,,,JB,JB,,,,,NB,NB,,,JB,NB,,,,JB,JB,,,JB,U,,,,JB,NB,,,JB,NB,,,,JB,JB,,,JB,NB,,
